Datetime,PM2.5,PM10,NO,NO2,NOx,CO,O3,Benzene,Toluene,AQI,AQI_Bucket
2020-01-01,457.8,316.1,114.4,88.3,81.9,7.43,94.9,2.58,3.18,483.2,Severe
2020-01-02,171.9,110.6,36.1,87.6,67.7,3.39,188.4,8.45,3.86,340.1,Very Poor
2020-01-03,54.5,342.8,110.8,86.6,172.9,1.88,72.8,6.44,21.79,292.8,Poor
2020-01-04,360.7,467.9,101.5,92.5,45.9,5.44,178.4,5.48,15.48,444.6,Severe
2020-01-05,299.4,90.7,188.0,111.4,78.4,9.41,58.4,15.91,20.8,420.2,Severe
2020-01-06,285.6,166.9,40.3,149.3,191.0,5.89,24.9,13.84,29.78,414.8,Severe
2020-01-07,134.1,397.9,10.8,35.6,126.6,6.94,108.7,11.08,9.02,359.8,Very Poor
2020-01-08,490.5,43.3,108.2,9.9,80.9,7.18,105.9,0.13,13.71,496.2,Severe
2020-01-09,99.3,75.8,127.8,86.2,34.1,2.6,135.8,4.21,7.53,229.3,Poor
2020-01-10,169.3,141.1,186.6,63.0,140.1,4.26,68.8,3.53,3.38,338.1,Very Poor
2020-01-11,212.1,505.5,113.2,62.4,109.2,1.82,26.9,12.58,4.82,444.6,Severe
2020-01-12,170.6,463.1,166.1,86.4,65.1,4.54,129.8,1.17,3.81,419.8,Severe
2020-01-13,418.7,504.4,123.7,113.3,116.1,2.97,171.1,3.58,6.57,467.7,Severe
2020-01-14,185.1,38.3,99.3,142.4,229.7,3.68,114.2,2.41,10.03,350.2,Very Poor
2020-01-15,299.4,143.8,123.3,108.6,9.8,8.98,7.2,6.07,20.43,420.2,Severe
2020-01-16,282.9,337.1,173.6,81.2,188.8,4.36,127.5,11.66,16.93,413.7,Severe
2020-01-17,480.0,247.8,12.3,139.5,54.6,6.95,42.3,9.98,16.45,492.0,Severe
2020-01-18,263.3,391.3,5.3,142.9,175.7,1.27,3.9,19.26,3.11,405.9,Severe
2020-01-19,285.7,308.5,187.3,111.5,246.1,3.92,62.9,1.58,29.11,414.8,Severe
2020-01-20,469.2,216.3,129.1,1.7,149.4,2.89,120.9,1.62,10.42,487.8,Severe
2020-01-21,390.7,210.1,70.0,118.3,124.0,5.35,169.6,6.98,6.45,456.5,Severe
2020-01-22,74.0,411.2,21.4,142.2,165.0,7.85,91.3,6.49,1.83,376.4,Very Poor
